year,month,day,water_level,time,precipitation,sluice_status
2013,2,26,477.6,19,,open normal
2013,2,27,477.56,7,,open normal
2013,2,27,477.5,19,,open normal
2013,2,28,477.5,7,,open normal
2013,2,28,477.45,19,,open normal
2013,3,1,477.45,7,,open normal
2013,3,1,477.39,19,,open normal
2013,3,2,477.39,7,,open normal
2013,3,2,477.34,19,,open normal
2013,3,3,477.32,7,,open normal
2013,3,3,477.3,19,,open normal
2013,3,4,477.32,7,12,open normal
2013,3,4,477.32,19,,open normal
2013,3,5,477.32,7,,open normal
2013,3,5,477.27,19,,open normal
2013,3,6,477.27,7,,open normal
2013,3,6,477.22,19,,open normal
2013,3,7,477.17,7,,open normal
2013,3,7,477.12,19,,open normal
2013,3,8,477.12,7,,open normal
2013,3,8,477.07,19,,open normal
2013,3,9,477.07,7,,open normal
2013,3,9,477.02,19,,open normal
2013,3,10,477.02,7,,open normal
2013,3,10,476.98,19,9,open normal
2013,3,11,476.95,7,,open normal
2013,3,11,476.91,19,,open normal
2013,3,12,476.87,7,,open normal
2013,3,12,476.83,19,,open normal
2013,3,13,476.79,7,,open normal
2013,3,13,476.74,19,,open normal
2013,3,14,476.74,7,,open normal
2013,3,14,476.68,19,,open normal
2013,3,15,476.64,7,,open normal
2013,3,15,476.56,19,,open normal
2013,3,16,476.52,7,,open normal
2013,3,16,476.47,19,,open normal
2013,3,17,476.42,7,,open normal
2013,3,17,476.4,19,,open normal
2013,3,18,476.35,7,,open normal
2013,3,18,476.3,19,,open normal
2013,3,19,476.26,7,,open normal
2013,3,19,476.26,19,,open normal
2013,3,20,476.22,7,,open normal
2013,3,20,476.22,19,,open normal
2013,3,21,476.15,7,,open normal
2013,3,21,476.12,19,,open normal
2013,3,22,476.05,7,,open normal
2013,3,22,475.98,19,,open normal
2013,3,23,475.92,7,,open normal
2013,3,23,475.92,19,,open normal
2013,3,24,475.92,7,,open normal
2013,3,24,475.88,19,,open normal
2013,3,25,475.88,7,,open normal
2013,3,25,475.84,19,,open normal
2013,3,26,475.84,7,,open normal
2013,3,26,475.8,19,,open normal
2013,3,27,475.8,7,,open normal
2013,3,27,475.75,19,,open normal
2013,3,28,475.71,7,,open normal
2013,3,28,475.66,19,,open normal
2013,3,29,475.61,7,,open normal
2013,3,29,475.56,19,,open normal
2013,3,30,475.56,7,,open normal
2013,3,30,475.45,19,,open normal
2013,3,31,475.4,7,2,open normal
2013,3,31,475.33,19,,open normal
2013,4,1,475.26,7,,open normal
2013,4,1,475.26,19,,close
2013,4,2,475.26,7,20,close
2013,4,2,475.26,19,,open normal
2013,4,3,475.26,7,,open normal
2013,4,3,475.21,19,,open normal
2013,4,4,475.21,7,,open normal
2013,4,4,475.16,19,,open normal
2013,4,5,475.16,7,,open normal
2013,4,5,475.12,19,,open normal
2013,4,6,475.12,7,,open normal
2013,4,6,475.06,19,,open normal
2013,4,7,475.06,7,,open normal
2013,4,7,475,19,,open normal
2013,4,8,474.95,7,,open normal
2013,4,8,474.88,19,,open normal
2013,4,9,474.88,7,,open normal
2013,4,9,474.8,19,,open normal
2013,4,10,474.76,7,,open normal
2013,4,10,474.68,19,,open normal
2013,4,11,474.66,7,,open normal
2013,4,11,474.55,19,,open normal
2013,4,12,474.46,7,,open normal
2013,4,12,474.4,19,,open normal
2013,4,13,474.4,7,,open normal
2013,4,13,474.34,19,,open normal
2013,4,14,474.34,7,,open normal
2013,4,14,474.29,19,,open normal
2013,4,15,474.25,7,4.5,open normal
2013,4,15,474.18,19,,open normal
2013,4,16,474.18,7,8,open normal
2013,4,16,474.12,19,,open normal
2013,4,17,474.12,7,13,close
2013,4,17,474.16,19,20,close
2013,4,18,474.17,7,,close
2013,4,18,474.17,19,,close
2013,4,19,474.17,7,,close
2013,4,19,474.17,19,,close
2013,4,20,474.17,7,,open normal
2013,4,20,474.15,19,,open normal
2013,4,21,474.15,7,,open normal
2013,4,21,474.12,19,,open normal
2013,4,22,474.12,7,,open normal
2013,4,22,474,19,,open normal
2013,4,23,473.88,7,,open normal
2013,4,23,473.75,19,,open normal
2013,4,24,473.75,7,,open normal
2013,4,24,473.67,19,,open normal
2013,4,25,473.56,7,,open normal
2013,4,25,473.49,19,,open normal
2013,4,26,473.6,7,41,close
2013,4,26,473.85,19,17.5,close
2013,4,27,473.9,7,,close
2013,4,27,473.86,19,,close
2013,4,28,473.82,7,,close
2013,4,28,473.78,19,1,close
2013,4,29,473.95,7,36,open normal
2013,4,29,473.03,19,,open normal
2013,4,30,473.06,7,7.5,open normal
2013,4,30,473.1,19,30,open normal
2013,5,1,474.3,7,,open normal
2013,5,1,474.2,19,5,open normal
2013,5,2,474.15,7,12,open normal
2013,5,2,474.13,19,,open normal
2013,5,3,474.07,7,,open normal
2013,5,3,473.9,19,,open normal
2013,5,4,473.8,7,14,open normal
2013,5,4,473.7,19,,open normal
2013,5,5,473.54,7,3,open normal
2013,5,5,473.35,19,,open normal
2013,5,6,473.09,7,,open normal
2013,5,6,473.08,19,22,open normal
2013,5,7,472.93,7,5,open normal
2013,5,7,472.69,19,,open normal
2013,5,8,472.44,7,,open normal
2013,5,8,472.4,19,,open normal
2013,5,9,472.4,7,,close
2013,5,9,472.4,19,,close
2013,5,10,472.45,7,13,close
2013,5,10,472.4,19,,close
2013,5,11,472.4,7,2,close
2013,5,11,472.4,19,,close
2013,5,12,472.42,7,9,open a little
2013,5,12,472.45,19,,open a little
2013,5,13,472.5,7,13,open a little
2013,5,13,472.55,19,,open a little
2013,5,14,472.6,7,,open a little
2013,5,14,472.65,19,,open a little
2013,5,15,472.7,7,,open a little
2013,5,15,472.75,19,,open a little
2013,5,16,472.8,7,,close
2013,5,16,472.88,19,,close
2013,5,17,472.95,7,,close
2013,5,17,472.96,19,,close
2013,5,18,472.96,7,,close
2013,5,18,472.97,19,,close
2013,5,19,472.97,7,,close
2013,5,19,472.98,19,,close
2013,5,20,472.98,7,,close
2013,5,20,472.99,19,,close
2013,5,21,472.99,7,,close
2013,5,21,473,19,,close
2013,5,22,473,7,,close
2013,5,22,473,19,,close
2013,5,23,473.01,7,,close
2013,5,23,473.02,19,3,close
2013,5,24,473.04,7,,close
2013,5,24,473.06,19,2,close
2013,5,25,473.07,7,,close
2013,5,25,473.12,19,7,close
2013,5,26,473.15,7,,close
2013,5,26,473.18,19,,close
2013,5,27,473.2,7,,close
2013,5,27,473.22,19,,close
2013,5,28,473.23,7,,close
2013,5,28,473.24,19,,close
2013,5,29,473.25,7,,close
2013,5,29,473.26,19,,close
2013,5,30,473.3,7,,close
2013,5,30,473.35,19,,close
2013,5,31,473.36,7,,close
2013,5,31,473.37,19,,close
2013,6,1,473.39,7,,open normal
2013,6,1,473.34,19,,open normal
2013,6,2,473.32,7,,open normal
2013,6,2,473.17,19,,open normal
2013,6,3,473.1,7,,open normal
2013,6,3,472.9,19,,open normal
2013,6,4,472.7,7,,open normal
2013,6,4,472.5,19,,open normal
2013,6,5,472.3,7,,open normal
2013,6,5,472.05,19,,open normal
2013,6,6,471.82,7,7,open normal
2013,6,6,471.6,19,,open normal
2013,6,7,471.38,7,4,open 2 channels
2013,6,7,471.08,19,,open 2 channels
2013,6,8,470.9,7,8,open normal
2013,6,8,470.7,19,,open normal
2013,6,9,470.45,7,,open 1 channel
2013,6,9,470.2,19,,open 1 channel
2013,6,10,469.92,7,,open 1 channel
2013,6,10,469.6,19,6,open 1 channel
2013,6,11,469.65,7,,open 1 channel
2013,6,11,469.7,19,,open 1 channel
2013,6,12,469.72,7,,close
2013,6,12,469.54,19,,close
2013,6,13,469.54,7,,close
2013,6,13,469.54,19,,close
2013,6,14,469.53,7,,open normal
2013,6,14,469.53,19,,close
2013,6,15,469.53,7,,open a little
2013,6,15,469.5,19,,open a little
2013,6,16,469.5,7,,close
2013,6,16,469.5,19,,close
2013,6,17,469.5,7,,close
2013,6,17,469.5,19,,close
2013,6,18,469.5,7,,close
2013,6,18,469.05,19,,close
2013,6,19,469.05,7,,open normal
2013,6,19,468.7,19,,open normal
2013,6,20,468.7,7,,close
2013,6,24,469.4,7,40,close
2013,6,24,472,19,79,close
2013,6,25,472.23,7,5,close
2013,6,25,472.38,19,,close
2013,6,26,472.46,7,,close
2013,6,26,472.44,19,,open a little
2013,6,27,472.5,7,,close
2013,6,27,472.65,19,2,close
2013,6,28,472.75,7,8,open normal
2013,6,28,472.9,19,3,close
2013,6,29,472.84,7,1,close
2013,6,29,472.92,19,,close
2013,6,30,472.96,7,,open a little
2013,6,30,472.94,19,,open a little
2013,7,1,472.95,7,,close
2013,7,1,472.97,19,,close
2013,7,2,473.03,7,9,close
2013,7,2,473.32,19,10,open a little
2013,7,3,473.47,7,1,open a little
2013,7,3,473.68,19,9,open a little
2013,7,4,473.8,7,3,open a little
2013,7,4,473.88,19,,open a little
2013,7,5,473.97,7,,close
2013,7,5,474,19,,close
2013,7,6,474.05,7,,close
2013,7,6,474.12,19,,close
2013,7,7,474.16,7,,close
2013,7,7,474.23,19,8,open a little
2013,7,8,474.36,7,7,close
2013,7,8,474.45,19,1,open a little
2013,7,9,474.5,7,,open a little
2013,7,9,474.53,19,9,open a little
2013,7,10,474.56,7,1,open a little
2013,7,10,474.7,19,20,open a little
2013,7,11,475.02,7,29,open a little
2013,7,11,475.38,19,3,open a little
2013,7,12,475.52,7,,open a little
2013,7,12,475.64,19,4,open a little
2013,7,13,475.74,7,,open a little
2013,7,13,475.79,19,,open a little
2013,7,14,476.24,7,61,open normal
2013,7,14,476.67,19,,open normal
2013,7,15,476.85,7,20,open normal
2013,7,15,477.2,19,29,open normal
2013,7,16,477.75,7,34,open normal
2013,7,16,478.22,19,16,open normal
2013,7,17,478.5,7,3,open normal
2013,7,17,478.7,19,,open normal
2013,7,18,478.78,7,,open normal
2013,7,18,478.85,19,,open normal
2013,7,19,478.96,7,14,open normal
2013,7,19,479,19,5,open normal
2013,7,20,479.2,7,17,open normal
2013,7,20,479.29,19,6,open normal
2013,7,21,479.3,7,,open normal
2013,7,21,479.35,19,5,open normal
2013,7,22,479.35,7,7,open normal
2013,7,22,479.32,19,,open normal
2013,7,23,479.29,7,,open normal
2013,7,23,479.25,19,,open normal
2013,7,24,479.22,7,,open normal
2013,7,24,479.2,19,,open normal
2013,7,25,479.14,7,,open normal
2013,7,25,479.1,19,,open normal
2013,7,26,479.05,7,3,open normal
2013,7,26,478.98,19,,open normal
2013,7,27,478.95,7,,open normal
2013,7,27,478.87,19,,open normal
2013,7,28,478.87,7,21,open normal
2013,7,28,479.34,19,26,open normal
2013,7,29,479.54,7,25,open normal
2013,7,29,479.66,19,13,open normal
2013,7,30,479.59,7,3,open normal
2013,7,30,479.5,19,,open normal
2013,7,31,479.53,7,23,open normal
2013,7,31,479.5,19,,open all
2013,8,1,479.45,7,,open all
2013,8,1,479.4,19,,open all
2013,8,2,479.35,7,,open all
2013,8,2,479.32,19,,open all
2013,8,3,479.19,7,,open all
2013,8,3,479.32,19,40,open all
2013,8,4,479.55,7,39,open normal
2013,8,4,479.6,19,1,open normal
2013,8,5,479.92,7,64,open all
2013,8,5,479.72,19,,open all
2013,8,6,479.57,7,,open all
2013,8,6,479.48,19,,open all
2013,8,7,479.4,7,1,open normal
2013,8,7,479.36,19,1,open normal
2013,8,8,479.35,7,1,open normal
2013,8,8,479.32,19,2,open normal
2013,8,9,479.3,7,4,open normal
2013,8,9,479.26,19,,open normal
2013,8,10,479.24,7,1,open all
2013,8,10,479.25,19,13,open all
2013,8,11,479.24,7,,open all
2013,8,11,479.21,19,2,open all
2013,8,12,479.2,7,1,open all
2013,8,12,479.16,19,,open all
2013,8,13,479.12,7,,open all
2013,8,13,479.12,19,,open all
2013,8,14,479.12,7,,close
2013,8,14,479.11,19,,close
2013,8,15,479.11,7,,close
2013,8,15,479.11,19,,close
2013,8,16,479.12,7,,open normal
2013,8,16,479.12,19,1,open normal
2013,8,17,479.12,7,17,open normal
2013,8,17,479.12,19,,open normal
2013,8,18,479.18,7,15,open a little
2013,8,18,479.25,19,2,open a little
2013,8,19,479.3,7,2,open all
2013,8,19,479.33,19,,open all
2013,8,20,479.4,7,,open all
2013,8,20,479.41,19,1,open all
2013,8,21,479.45,7,,open a little
2013,8,21,479.46,19,,open a little
2013,8,22,479.47,7,,open a little
2013,8,22,479.54,19,3,open a little
2013,8,23,479.46,7,,open a little
2013,8,23,479.47,19,,open a little
2013,8,24,479.47,7,1,open a little
2013,8,24,479.54,19,16,open a little
2013,8,25,479.6,7,23,open a little
2013,8,25,479.8,19,8,open a little
2013,8,26,479.91,7,,open a little
2013,8,26,479.98,19,,open a little
2013,8,27,480.03,7,,open a little
2013,8,27,480.07,19,,open a little
2013,8,28,480.12,7,5,open a little
2013,8,28,480.15,19,,open a little
2013,8,29,480.17,7,,open a little
2013,8,29,480.2,19,,open a little
2013,8,30,480.21,7,,open a little
2013,8,30,480.38,19,61,open a little
2013,8,31,480.3,7,,open all
2013,8,31,480.28,19,5,open all
2013,9,1,480.33,7,19,open all
2013,9,1,480.3,19,7,open all
2013,9,2,480.28,7,2,open all
2013,9,2,480.28,19,,open all
2013,9,3,480.26,7,,open all
2013,9,3,480.25,19,,open all
2013,9,4,480.27,7,14,open all
2013,9,4,480.27,19,3,open all
2013,9,5,480.27,7,8,open all
2013,9,5,480.28,19,7,open all
2013,9,6,480.27,7,,open all
2013,9,6,480.26,19,1,open all
2013,9,7,480.26,7,,open all
2013,9,7,480.25,19,,open all
2013,9,8,480.25,7,,open all
2013,9,8,480.25,19,,open all
2013,9,9,480.24,7,,open all
2013,9,9,480.23,19,,open all
2013,9,10,480.22,7,,open all
2013,9,10,480.22,19,,open a little
2013,9,11,480.22,7,,open a little
2013,9,11,480.22,19,,open a little
2013,9,12,480.23,7,,open a little
2013,9,12,480.23,19,,open a little
2013,9,13,480.23,7,,open a little
2013,9,13,480.23,19,3,open a little
2013,9,14,480.22,7,,open a little
2013,9,14,480.22,19,,open a little
2013,9,15,480.2,7,,open a little
2013,9,15,480.2,19,,open a little
2013,9,16,480.19,7,,open a little
2013,9,16,480.18,19,,open a little
2013,9,17,480.18,7,,open a little
2013,9,17,480.19,19,,open a little
2013,9,18,480.19,7,,open a little
2013,9,18,480.2,19,,open a little
2013,9,19,480.2,7,,open a little
2013,9,19,480.21,19,,open a little
2013,9,20,480.21,7,,open a little
2013,9,20,480.21,19,,open a little
2013,9,21,480.22,7,,open a little
2013,9,21,480.22,19,,open a little
2013,9,22,480.22,7,,open a little
2013,9,22,480.22,19,,open a little
2013,9,23,480.22,7,,open a little
2013,9,23,480.22,19,,open a little
2013,9,24,480.23,7,4,open a little
2013,9,24,480.23,19,2,open a little
2013,9,25,480.31,7,5,open a little
2013,9,25,480.31,19,,open a little
2013,9,26,480.32,7,2,open a little
2013,9,26,480.32,19,,open a little
2013,9,27,480.33,7,,open a little
2013,9,27,480.33,19,,open a little
2013,9,28,480.34,7,,open a little
2013,9,28,480.34,19,,open a little
2013,9,29,480.35,7,,open a little
2013,9,29,480.35,19,,open a little
2013,9,30,480.35,7,,open a little
2013,9,30,480.35,19,,open a little
2013,10,1,480.29,7,,close
2013,10,1,480.24,19,,close
2013,10,2,480.24,7,,close
2013,10,2,480.24,19,,close
2013,10,3,480.24,7,,close
2013,10,3,480.24,19,,close
2013,10,4,480.25,7,,close
2013,10,4,480.25,19,,close
2013,10,5,480.25,7,,close
2013,10,5,480.25,19,,close
2013,10,6,480.25,7,,close
2013,10,6,480.25,19,,close
2013,10,7,480.26,7,,close
2013,10,7,480.26,19,,close
2013,10,8,480.26,7,,close
2013,10,8,480.26,19,,close
2013,10,9,480.26,7,,close
2013,10,9,480.26,19,,close
2013,10,10,480.26,7,,close
2013,10,10,480.26,19,,close
2013,10,11,480.26,7,,close
2013,10,11,480.26,19,,close
2013,10,12,480.26,7,,close
2013,10,12,480.26,19,,close
2013,10,13,480.26,7,,close
2013,10,13,480.26,19,,close
2013,10,14,480.26,7,,close
2013,10,14,480.26,19,,close
2013,10,15,480.26,7,,close
2013,10,15,480.26,19,,close
2013,10,16,480.26,7,,close
2013,10,16,480.26,19,,close
2013,10,17,480.26,7,,close
2013,10,17,480.26,19,,close
2013,10,18,480.26,7,,close
2013,10,18,480.26,19,,close
2013,10,19,480.26,7,,close
2013,10,19,480.26,19,,close
2013,10,20,480.26,7,,close
2013,10,20,480.26,19,,close
2013,10,21,480.26,7,,close
2013,10,21,480.26,19,,close
2013,10,22,480.26,7,,close
2013,10,22,480.26,19,,close
2013,10,23,480.26,7,,close
2013,10,23,480.26,19,,close
2013,10,24,480.28,7,22,close
2013,10,24,480.3,19,5,close
2013,10,25,480.3,7,,close
2013,10,25,480.3,19,,close
2013,10,26,480.3,7,,close
2013,10,26,480.3,19,,close
2013,10,27,480.3,7,,close
2013,10,27,480.3,19,,close
2013,10,28,480.3,7,,close
2013,10,28,480.3,19,,close
2013,10,29,480.3,7,,close
2013,10,29,480.3,19,1,close
2013,10,30,480.3,7,,close
2013,10,30,480.3,19,,close
2013,10,31,480.3,7,,close
2013,10,31,480.3,19,,close
2013,11,1,480.3,7,,close
2013,11,1,480.3,19,,close
2013,11,2,480.3,7,,close
2013,11,2,480.3,19,,close
2013,11,3,480.3,7,,close
2013,11,3,480.3,19,,close
2013,11,4,480.3,7,,close
2013,11,4,480.3,19,,close
2013,11,5,480.3,7,,close
2013,11,5,480.3,19,,close
2013,11,6,480.3,7,,close
2013,11,6,480.3,19,,close
2013,11,7,480.3,7,,close
2013,11,7,480.3,19,,close
2013,11,8,480.3,7,,close
2013,11,8,480.3,19,,close
2013,11,9,480.3,7,,close
2013,11,9,480.3,19,,close
2013,11,10,480.3,7,,close
2013,11,10,480.3,19,,close
2013,11,11,480.3,7,,close
2013,11,11,480.3,19,,close
2013,11,12,480.3,7,,close
2013,11,12,480.3,19,,close
2013,11,13,480.3,7,,close
2013,11,13,480.3,19,,close
2013,11,14,480.3,7,,close
2013,11,14,480.3,19,,close
2013,11,15,480.3,7,,close
2013,11,15,480.3,19,,close
2013,11,16,480.3,7,,close
2013,11,16,480.3,19,,close
2013,11,17,480.3,7,,close
2013,11,17,480.3,19,,close
2013,11,18,480.3,7,,close
2013,11,18,480.29,19,,close
2013,11,19,480.29,7,,close
2013,11,19,480.29,19,,close
2013,11,20,480.28,7,,close
2013,11,20,480.28,19,,close
2013,11,21,480.28,7,,close
2013,11,21,480.28,19,,close
2013,11,22,480.28,7,,close
2013,11,22,480.28,19,,close
2013,11,23,480.28,7,,close
2013,11,23,480.27,19,,close
2013,11,24,480.27,7,,close
2013,11,24,480.27,19,,close
2013,11,25,480.27,7,,close
2013,11,25,480.27,19,,close
2013,11,26,480.27,7,,close
2013,11,26,480.27,19,,close
2013,11,27,480.26,7,,close
2013,11,27,480.26,19,,close
2013,11,28,480.26,7,,close
2013,11,28,480.26,19,,close
2013,11,29,480.26,7,,close
2013,11,29,480.26,19,,close
2013,11,30,480.26,7,,close
2013,11,30,480.26,19,,close
2013,12,1,480.25,7,,close
2013,12,1,480.25,19,,close
2013,12,2,480.25,7,,close
2013,12,2,480.28,19,,close
2013,12,3,480.24,7,,close
2013,12,3,480.24,19,,close
2013,12,4,480.24,7,,close
2013,12,4,480.24,19,,close
2013,12,5,480.24,7,,close
2013,12,5,480.24,19,,close
2013,12,6,480.24,7,,close
2013,12,6,480.24,19,,close
2013,12,7,480.23,7,,close
2013,12,7,480.23,19,,close
2013,12,8,480.23,7,,close
2013,12,8,480.23,19,,close
2013,12,9,480.23,7,,close
2013,12,9,480.23,19,,close
2013,12,10,480.23,7,,close
2013,12,10,480.22,19,,close
2013,12,11,480.22,7,,close
2013,12,11,480.22,19,,close
2013,12,12,480.21,7,,close
2013,12,12,480.21,19,,close
2013,12,13,480.21,7,,close
2013,12,13,480.21,19,4,close
2013,12,14,480.26,7,55,close
2013,12,14,480.3,19,6,close
2013,12,15,480.38,7,50,close
2013,12,15,480.45,19,67,close
2013,12,16,480.45,7,18,close
2013,12,16,480.32,19,,close
2013,12,17,480.22,7,,close
2013,12,17,480.22,19,,close
2013,12,18,480.22,7,,close
2013,12,18,480.23,19,,close
2013,12,19,480.24,7,,close
2013,12,19,480.25,19,,close
2013,12,20,480.26,7,,close
2013,12,20,480.27,19,,close
2013,12,21,480.28,7,,close
2013,12,21,480.28,19,,close
2013,12,22,480.29,7,,close
2013,12,22,480.29,19,,close
2013,12,23,480.29,7,,close
2013,12,23,480.3,19,,close
2013,12,24,480.3,7,,close
2013,12,24,480.3,19,,close
2013,12,25,480.31,7,,close
2013,12,25,480.31,19,,close
2013,12,26,480.32,7,,close
2013,12,26,480.32,19,,close
2013,12,27,480.33,7,,close
2013,12,27,480.33,19,,close
2013,12,28,480.34,7,,close
2013,12,28,480.34,19,,close
2013,12,29,480.35,7,,close
2013,12,29,480.35,19,,close
2013,12,30,480.35,7,,close
2013,12,30,480.35,19,,close
2013,12,31,480.35,7,,close
2013,12,31,480.35,19,,close
2014,1,1,480.35,7,,close
2014,1,1,480.35,19,,close
2014,1,2,480.36,7,,close
2014,1,2,480.35,19,,close
2014,1,3,480.34,7,,open normal
2014,1,3,480.28,19,,open normal
2014,1,4,480.25,7,,open normal
2014,1,4,480.2,19,,open normal
2014,1,5,480.17,7,,open normal
2014,1,5,480.13,19,,open normal
2014,1,6,480.1,7,,open normal
2014,1,6,480.06,19,,open normal
2014,1,7,480.03,7,,open normal
2014,1,7,480,19,,open normal
2014,1,8,479.98,7,,open normal
2014,1,8,479.96,19,,open normal
2014,1,9,479.94,7,,open normal
2014,1,9,479.87,19,,open normal
2014,1,10,479.85,7,,open normal
2014,1,10,479.8,19,,open normal
2014,1,11,479.77,7,,open normal
2014,1,11,479.76,19,,open normal
2014,1,12,479.75,7,,open normal
2014,1,12,479.72,19,,open normal
2014,1,13,479.7,7,,open normal
2014,1,13,479.7,19,3.5,open normal
2014,1,14,479.7,7,,close
2014,1,14,479.69,19,,close
2014,1,15,479.69,7,,close
2014,1,15,479.67,19,,close
2014,1,16,479.66,7,,open a little
2014,1,16,479.65,19,,open a little
2014,1,17,479.65,7,,open a little
2014,1,17,479.65,19,,open a little
2014,1,18,479.65,7,,open a little
2014,1,18,479.65,19,,open a little
2014,1,19,479.64,7,,open a little
2014,1,19,479.64,19,,open a little
2014,1,20,479.63,7,,open a little
2014,1,20,479.62,19,,open a little
2014,1,21,479.62,7,,open a little
2014,1,21,479.62,19,,open a little
2014,1,22,479.62,7,,open a little
2014,1,22,479.58,19,,open a little
2014,1,23,479.56,7,,open a little
2014,1,23,479.52,19,,open a little
2014,1,24,479.52,7,,open normal
2014,1,24,479.49,19,,open normal
2014,1,25,479.49,7,,open normal
2014,1,25,479.48,19,,open normal
2014,1,26,479.48,7,,open normal
2014,1,26,479.45,19,,open normal
2014,1,27,479.44,7,,open normal
2014,1,27,479.41,19,,open normal
2014,1,28,479.38,7,,open normal
2014,1,28,479.36,19,,open normal
2014,1,29,479.36,7,,open normal
2014,1,29,479.34,19,,open normal
2014,1,30,479.33,7,,open a little
2014,1,30,479.31,19,,open a little
2014,1,31,479.3,7,,open a little
2014,1,31,479.3,19,,open a little
2014,2,1,479.3,7,,close
2014,2,1,479.3,19,,close
2014,2,2,479.3,7,,close
2014,2,2,479.3,19,,close
2014,2,3,479.3,7,,close
2014,2,3,479.37,19,,close
2014,2,4,479.27,7,,open a little
2014,2,4,479.24,19,,open a little
2014,2,5,479.24,7,,open a little
2014,2,5,479.19,19,,open a little
2014,2,6,479.13,7,,open a little
2014,2,6,479.08,19,,open a little
2014,2,7,479.06,7,,open normal
2014,2,7,479.01,19,,open normal
2014,2,8,478.96,7,,open normal
2014,2,8,478.91,19,,open normal
2014,2,9,478.9,7,,open normal
2014,2,9,478.85,19,,open normal
